latitude,longitude,elevation_m
43.6597748,-79.3963113,114.00
43.6597748,-79.3962989,114.00
43.6597748,-79.3962864,114.00
43.6597748,-79.3962740,114.00
43.6597748,-79.3962615,114.00
43.6597748,-79.3962491,114.00
43.6597748,-79.3962366,114.00
43.6597748,-79.3962242,114.00
43.6597748,-79.3962117,114.00
43.6597748,-79.3961992,114.00
43.6597748,-79.3961868,114.00
43.6597748,-79.3961743,114.00
43.6597748,-79.3961619,114.00
43.6597748,-79.3961494,114.00
43.6597748,-79.3961370,114.00
43.6597748,-79.3961245,114.00
43.6597748,-79.3961121,114.00
43.6597748,-79.3960996,114.00
43.6597748,-79.3960872,114.00
43.6597748,-79.3960747,114.00
43.6597748,-79.3960623,114.00
43.6597748,-79.3960498,114.00
43.6597748,-79.3960374,114.00
43.6597748,-79.3960249,114.00
43.6597748,-79.3960125,114.00
43.6597748,-79.3960000,114.00
43.6597748,-79.3959875,114.00
43.6597748,-79.3959751,114.00
43.6597748,-79.3959626,114.00
43.6597748,-79.3959502,114.00
43.6597748,-79.3959377,114.00
43.6597748,-79.3959253,114.00
43.6597748,-79.3959128,114.00
43.6597748,-79.3959004,114.00
43.6597748,-79.3958879,114.00
43.6597748,-79.3958755,114.00
43.6597748,-79.3958630,114.00
43.6597748,-79.3958506,114.00
43.6597748,-79.3958381,113.00
43.6597748,-79.3958257,113.00
43.6597748,-79.3958132,113.00
43.6597748,-79.3958008,113.00
43.6597748,-79.3957883,113.00
43.6597748,-79.3957758,113.00
43.6597748,-79.3957634,113.00
43.6597748,-79.3957509,113.00
43.6597748,-79.3957385,113.00
43.6597748,-79.3957260,113.00
43.6597748,-79.3957136,113.00
43.6597748,-79.3957011,113.00
43.6597838,-79.3963113,114.00
43.6597838,-79.3962989,114.00
43.6597838,-79.3962864,114.00
43.6597838,-79.3962740,114.00
43.6597838,-79.3962615,114.00
43.6597838,-79.3962491,114.00
43.6597838,-79.3962366,114.00
43.6597838,-79.3962242,114.00
43.6597838,-79.3962117,114.00
43.6597838,-79.3961992,114.00
43.6597838,-79.3961868,114.00
43.6597838,-79.3961743,114.00
43.6597838,-79.3961619,114.00
43.6597838,-79.3961494,114.00
43.6597838,-79.3961370,114.00
43.6597838,-79.3961245,114.00
43.6597838,-79.3961121,114.00
