                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5191,                 2.0238,                 1.6513,                0.30009,                 0.2332,                0.18956,                0.09646,                 2.5894,                 3.7469,                 2.9357,             0.00066422,             0.00066422,             0.00066422
                      2,                 1.6487,                 1.8764,                 1.7525,                 0.4046,                0.30749,                0.25877,                0.13243,                 2.3338,                   2.77,                 2.5039,              0.0013177,              0.0013177,              0.0013177
                      3,                 1.6979,                 1.8304,                  1.776,                0.40391,                0.30904,                0.25962,                0.13143,                 2.6225,                 2.6877,                 2.8453,               0.001958,               0.001958,               0.001958
                      4,                 1.6899,                 1.7465,                 1.7518,                0.45693,                0.38695,                 0.3366,                0.19418,                 2.3413,                 2.5416,                 2.5002,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6659,                 1.7868,                 1.7494,                 0.4908,                0.45801,                0.32894,                 0.1954,                 2.1851,                 2.4812,                 2.3792,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6083,                  1.666,                 1.7037,                0.49486,                0.43798,                0.35661,                0.20526,                 2.1414,                 2.5033,                 2.3148,               0.001901,               0.001901,               0.001901
                      7,                 1.5909,                 1.6824,                 1.7036,                0.52333,                0.48865,                0.34676,                 0.2091,                 1.9803,                 2.3332,                 2.1458,              0.0018812,              0.0018812,              0.0018812
                      8,                   1.56,                 1.6851,                  1.676,                0.48963,                0.47933,                0.37284,                0.22857,                 2.0042,                 2.2458,                 2.1482,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5616,                 1.6649,                 1.6837,                0.51611,                0.48514,                0.40193,                0.25369,                 2.0156,                 2.1264,                 2.2035,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4925,                 1.5785,                  1.628,                0.55158,                0.49677,                0.40521,                0.25825,                 1.9365,                 2.1106,                 2.0517,              0.0018218,              0.0018218,              0.0018218
                     11,                   1.47,                 1.5446,                 1.6149,                0.55876,                0.50323,                0.36284,                0.23242,                 1.9249,                 2.2702,                 2.1351,               0.001802,               0.001802,               0.001802
                     12,                 1.4936,                 1.5694,                 1.6393,                0.52167,                0.45155,                0.35533,                0.21903,                 2.0473,                  2.285,                 2.3166,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4542,                 1.4985,                 1.5986,                0.58171,                0.50969,                0.38899,                0.24829,                 1.8976,                 2.1783,                 2.1241,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4426,                 1.5021,                 1.5989,                0.58462,                0.50065,                0.39873,                0.25459,                 1.8996,                 2.1853,                 2.0902,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4105,                 1.5044,                 1.5686,                0.60431,                0.47804,                0.42212,                0.27293,                 1.9596,                 2.1234,                 2.1535,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4144,                 1.4873,                 1.5585,                0.61952,                0.50194,                0.42389,                0.27454,                 1.9454,                 2.1608,                  2.206,               0.001703,               0.001703,               0.001703
                     17,                 1.4067,                 1.4666,                 1.5682,                0.57428,                0.52982,                0.39058,                0.24956,                 1.9253,                 2.1994,                 2.1159,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.384,                 1.4428,                 1.5509,                0.55465,                0.50517,                0.42459,                0.27088,                 2.0586,                 2.3352,                 2.3729,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4223,                 1.4912,                 1.5774,                 0.5649,                0.51809,                0.38428,                0.24076,                 1.9366,                 2.1378,                 2.1915,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.378,                  1.463,                  1.553,                0.57645,                0.51292,                0.38293,                0.24262,                 1.9153,                 2.1051,                 2.1749,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3807,                 1.4502,                 1.5379,                0.57019,                0.52261,                0.37866,                0.23422,                 1.8907,                  2.138,                 2.1069,               0.001604,               0.001604,               0.001604
                     22,                 1.3706,                 1.4093,                   1.53,                0.59267,                0.52196,                0.43212,                0.28495,                 1.9009,                 2.0159,                 2.1256,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3358,                  1.388,                  1.513,                0.57581,                0.54651,                0.42195,                0.27532,                 1.8789,                  2.079,                 2.0905,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3183,                 1.3445,                  1.491,                0.58842,                0.53036,                0.43423,                0.28442,                  1.877,                 2.0496,                  2.097,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3137,                 1.3745,                  1.493,                0.57824,                0.52455,                0.37457,                0.23968,                 1.9249,                 2.1688,                  2.201,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.311,                 1.3741,                 1.4967,                0.64963,                0.46705,                0.44347,                0.29357,                 1.9758,                  2.279,                 2.2542,               0.001505,               0.001505,               0.001505
                     27,                 1.3037,                 1.3779,                 1.4842,                0.56873,                 0.5407,                 0.4467,                 0.2903,                 1.9096,                 2.0678,                 2.1415,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.313,                 1.3636,                 1.4896,                0.59293,                 0.5155,                0.42041,                0.27066,                 1.9499,                 2.0889,                 2.1831,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3107,                 1.3816,                 1.5033,                  0.628,                0.50384,                0.44812,                0.29529,                 1.9403,                  2.138,                 2.1851,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3023,                 1.3584,                 1.4755,                0.59283,                0.53618,                0.44301,                 0.2844,                 1.9194,                 2.0135,                 2.1088,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3005,                 1.3404,                  1.481,                0.60431,                0.53101,                0.46171,                0.30694,                 1.8956,                 2.0033,                 2.1175,               0.001406,               0.001406,               0.001406
                     32,                 1.2739,                 1.3372,                 1.4661,                 0.6057,                0.52584,                 0.3892,                0.25659,                 1.8882,                 2.2007,                 2.1503,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.266,                 1.3187,                 1.4574,                0.56866,                0.54676,                0.37922,                0.23911,                 1.8559,                 2.2052,                 2.0565,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.268,                 1.3089,                   1.46,                0.59441,                0.51407,                0.41125,                0.26849,                 1.8948,                 2.1205,                 2.1388,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2585,                 1.3068,                 1.4588,                0.64047,                0.50865,                0.47669,                0.31578,                 1.8978,                  2.098,                   2.11,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2564,                 1.3173,                 1.4489,                0.56833,                0.54262,                0.40465,                0.25466,                 1.8839,                 2.1696,                 2.1149,               0.001307,               0.001307,               0.001307
                     37,                 1.2408,                 1.2867,                  1.443,                0.62891,                0.51894,                0.45946,                0.30458,                 1.8636,                 2.0565,                 2.1495,              0.0012872,              0.0012872,              0.0012872
