epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.899,1.64077,1.80153,1.11607,0.86636,0.81299,0.91122,0.52209,1.52771,0.99529,1.04523,0.00332251,0.00332251,0.00332251
2,510.913,1.50697,0.88316,1.05011,0.89531,0.80231,0.88219,0.44521,1.71054,1.0554,1.10791,0.0066229,0.0066229,0.0066229
3,616.837,1.54971,0.96874,1.0712,0.80862,0.76043,0.83232,0.44454,1.68012,1.33429,1.14087,0.00989028,0.00989028,0.00989028
4,722.729,1.61009,1.02789,1.11365,0.86438,0.81384,0.88643,0.46087,1.65868,1.37797,1.14495,0.0098515,0.0098515,0.0098515
5,828.667,1.5784,0.96918,1.1003,0.85377,0.84609,0.86352,0.4657,1.64694,1.67815,1.12878,0.009802,0.009802,0.009802
6,934.828,1.56186,0.93108,1.09901,0.84866,0.86509,0.91016,0.50408,1.6079,1.49378,1.12202,0.0097525,0.0097525,0.0097525
7,1041,1.54131,0.86116,1.08915,0.9183,0.88964,0.93899,0.51412,1.58019,1.01559,1.11849,0.009703,0.009703,0.009703
8,1147.19,1.51245,0.82451,1.08159,0.8835,0.80619,0.89875,0.51026,1.55442,1.05183,1.09502,0.0096535,0.0096535,0.0096535
9,1253.4,1.47891,0.80985,1.07083,0.91763,0.91174,0.94315,0.51811,1.52838,1.15243,1.08434,0.009604,0.009604,0.009604
10,1359.54,1.47079,0.78556,1.06974,0.90223,0.8506,0.92733,0.53918,1.50948,0.93706,1.08676,0.0095545,0.0095545,0.0095545
11,1465.74,1.4555,0.76308,1.0647,0.94688,0.90612,0.96614,0.55122,1.52414,0.82256,1.09261,0.009505,0.009505,0.009505
12,1571.97,1.44088,0.74539,1.05701,0.9431,0.93048,0.96526,0.54394,1.50476,0.81487,1.06848,0.0094555,0.0094555,0.0094555
13,1678.14,1.42464,0.73175,1.05257,0.91439,0.95193,0.96328,0.55921,1.50563,0.86149,1.07951,0.009406,0.009406,0.009406
14,1784.33,1.42799,0.73088,1.05133,0.91016,0.89084,0.95003,0.54507,1.55136,0.8719,1.09304,0.0093565,0.0093565,0.0093565
15,1890.57,1.40406,0.70853,1.04271,0.95296,0.953,0.97487,0.57941,1.4727,0.79026,1.07191,0.009307,0.009307,0.009307
16,1996.84,1.38649,0.69173,1.0417,0.9608,0.95208,0.98141,0.57649,1.49818,0.72516,1.06619,0.0092575,0.0092575,0.0092575
17,2103,1.38784,0.68285,1.04498,0.95509,0.93925,0.9752,0.56475,1.51558,0.74572,1.07354,0.009208,0.009208,0.009208
18,2209.03,1.38367,0.68608,1.03851,0.97279,0.96655,0.98931,0.60471,1.46974,0.66405,1.06346,0.0091585,0.0091585,0.0091585
19,2315.23,1.3665,0.66698,1.04045,0.94265,0.96568,0.97733,0.581,1.47446,0.7557,1.0677,0.009109,0.009109,0.009109
20,2421.36,1.34792,0.66264,1.02652,0.94432,0.9695,0.98043,0.59777,1.46384,0.71752,1.05365,0.0090595,0.0090595,0.0090595
21,2527.49,1.35195,0.65326,1.02238,0.95426,0.95319,0.97561,0.59579,1.45608,0.67131,1.05156,0.00901,0.00901,0.00901
22,2633.63,1.34469,0.64938,1.02438,0.94909,0.96154,0.97581,0.5882,1.43945,0.77543,1.04787,0.0089605,0.0089605,0.0089605
23,2739.73,1.33636,0.64309,1.01551,0.96351,0.96968,0.98538,0.60786,1.43391,0.69452,1.04368,0.008911,0.008911,0.008911
24,2845.88,1.32356,0.63714,1.01796,0.94449,0.97188,0.98114,0.59253,1.44871,0.67339,1.05409,0.0088615,0.0088615,0.0088615
25,2952.08,1.31537,0.63131,1.0111,0.97503,0.96577,0.98652,0.60732,1.43284,0.63174,1.04259,0.008812,0.008812,0.008812
26,3059.06,1.31895,0.62767,1.00997,0.96321,0.96729,0.98478,0.60989,1.43929,0.69494,1.04798,0.0087625,0.0087625,0.0087625
27,3165.84,1.30588,0.62217,1.00987,0.96652,0.95907,0.9842,0.60529,1.43871,0.65011,1.05003,0.008713,0.008713,0.008713
28,3271.97,1.30061,0.6175,1.00569,0.97109,0.97992,0.99239,0.62705,1.41645,0.62408,1.03398,0.0086635,0.0086635,0.0086635
29,3378.13,1.29541,0.61584,1.01135,0.98272,0.98245,0.99223,0.62114,1.38892,0.59424,1.0348,0.008614,0.008614,0.008614
30,3484.31,1.27965,0.6054,1.00518,0.97582,0.97588,0.99104,0.6205,1.41472,0.60289,1.04494,0.0085645,0.0085645,0.0085645
31,3590.44,1.27633,0.60005,1.00117,0.9735,0.97998,0.98988,0.62628,1.40543,0.60166,1.03129,0.008515,0.008515,0.008515
32,3696.48,1.2787,0.59571,1.00541,0.9657,0.97868,0.98852,0.62972,1.39842,0.61979,1.03254,0.0084655,0.0084655,0.0084655
33,3803.1,1.28271,0.59107,1.00337,0.97246,0.98383,0.99085,0.63421,1.39777,0.61445,1.03389,0.008416,0.008416,0.008416
34,3909.57,1.25548,0.59313,0.99449,0.96574,0.9815,0.98974,0.62377,1.40717,0.64154,1.03066,0.0083665,0.0083665,0.0083665
35,4015.73,1.25827,0.5787,0.99557,0.9795,0.98928,0.99265,0.63119,1.40212,0.60313,1.03065,0.008317,0.008317,0.008317
36,4121.75,1.25088,0.57849,0.99336,0.97616,0.98256,0.98926,0.6191,1.39707,0.62546,1.03447,0.0082675,0.0082675,0.0082675
37,4227.81,1.25581,0.58005,0.9926,0.97375,0.99007,0.99093,0.62506,1.40062,0.62874,1.03294,0.008218,0.008218,0.008218
38,4333.79,1.25707,0.57931,0.99183,0.98044,0.98127,0.99186,0.62999,1.38508,0.59282,1.03357,0.0081685,0.0081685,0.0081685
39,4439.78,1.25732,0.56918,0.99655,0.96688,0.98091,0.98315,0.6374,1.3821,0.61097,1.03159,0.008119,0.008119,0.008119
40,4545.88,1.23713,0.56866,0.99054,0.97515,0.98411,0.98745,0.62616,1.3906,0.5945,1.02635,0.0080695,0.0080695,0.0080695
41,4651.83,1.23306,0.56284,0.98796,0.98251,0.98191,0.98995,0.6389,1.37932,0.57217,1.03019,0.00802,0.00802,0.00802
42,4757.88,1.22429,0.55932,0.98537,0.97182,0.98616,0.98434,0.63745,1.37455,0.58604,1.02776,0.0079705,0.0079705,0.0079705
43,4863.83,1.23153,0.55947,0.98468,0.9898,0.98602,0.9922,0.62874,1.40152,0.55825,1.03274,0.007921,0.007921,0.007921
44,4969.83,1.22655,0.55633,0.98256,0.97351,0.98278,0.98728,0.64569,1.36215,0.57628,1.02164,0.0078715,0.0078715,0.0078715
45,5075.82,1.21106,0.55426,0.98431,0.98158,0.98832,0.99022,0.63735,1.38442,0.57266,1.026,0.007822,0.007822,0.007822
46,5181.84,1.20997,0.54792,0.97466,0.98007,0.98863,0.99252,0.64553,1.36697,0.5618,1.01392,0.0077725,0.0077725,0.0077725
47,5287.91,1.20898,0.54645,0.97471,0.97669,0.98549,0.99173,0.63691,1.39204,0.57108,1.02553,0.007723,0.007723,0.007723
48,5393.85,1.20746,0.55058,0.97793,0.98089,0.98296,0.98882,0.63669,1.37352,0.54671,1.02369,0.0076735,0.0076735,0.0076735
49,5499.87,1.19537,0.55156,0.97887,0.98373,0.98408,0.99195,0.64617,1.35892,0.53994,1.01704,0.007624,0.007624,0.007624
50,5605.85,1.20237,0.54454,0.97468,0.9823,0.98713,0.99325,0.65352,1.35682,0.54047,1.0176,0.0075745,0.0075745,0.0075745
51,5711.81,1.18681,0.5452,0.96475,0.98401,0.98451,0.99232,0.64282,1.3585,0.55563,1.01815,0.007525,0.007525,0.007525
52,5817.81,1.18646,0.53407,0.97186,0.97877,0.98656,0.98859,0.64748,1.35092,0.56672,1.01734,0.0074755,0.0074755,0.0074755
53,5923.74,1.17699,0.52586,0.96607,0.97903,0.98678,0.99257,0.65077,1.36139,0.53464,1.01282,0.007426,0.007426,0.007426
54,6029.67,1.17597,0.53014,0.97249,0.98675,0.98432,0.99297,0.65323,1.35172,0.52758,1.01431,0.0073765,0.0073765,0.0073765
55,6135.59,1.17695,0.52649,0.96545,0.99152,0.98688,0.99406,0.66391,1.35259,0.52195,1.01273,0.007327,0.007327,0.007327
56,6241.57,1.16588,0.52647,0.96683,0.97946,0.98748,0.98926,0.65367,1.34221,0.55372,1.00898,0.0072775,0.0072775,0.0072775
57,6347.49,1.16725,0.51877,0.96685,0.98591,0.98076,0.99193,0.64547,1.37665,0.53684,1.02191,0.007228,0.007228,0.007228
58,6453.41,1.15663,0.52114,0.9599,0.97608,0.99123,0.9878,0.64862,1.35799,0.55475,1.01535,0.0071785,0.0071785,0.0071785
59,6559.38,1.17293,0.52676,0.96652,0.98616,0.98951,0.99318,0.65574,1.35025,0.5377,1.01469,0.007129,0.007129,0.007129
60,6665.34,1.14671,0.51828,0.95641,0.98391,0.9851,0.99143,0.64784,1.37227,0.54042,1.01623,0.0070795,0.0070795,0.0070795
61,6771.29,1.15474,0.5142,0.95622,0.99097,0.99181,0.99383,0.65862,1.33799,0.50323,1.01141,0.00703,0.00703,0.00703
62,6877.26,1.15814,0.51536,0.96385,0.98679,0.9924,0.99187,0.66375,1.35072,0.52217,1.01721,0.0069805,0.0069805,0.0069805
63,6983.22,1.15256,0.51287,0.95785,0.98484,0.98774,0.9906,0.6506,1.35501,0.5454,1.01654,0.006931,0.006931,0.006931
64,7089.15,1.15856,0.51682,0.96548,0.98172,0.98284,0.99144,0.65858,1.35214,0.51494,1.02019,0.0068815,0.0068815,0.0068815
65,7195.16,1.13842,0.51096,0.95925,0.97696,0.98704,0.99022,0.65963,1.34516,0.55545,1.01369,0.006832,0.006832,0.006832
66,7301.16,1.14145,0.50887,0.95616,0.9864,0.98638,0.9931,0.669,1.34085,0.50432,1.01019,0.0067825,0.0067825,0.0067825
67,7407.13,1.1311,0.5004,0.95652,0.9807,0.9906,0.99172,0.66435,1.33792,0.5154,1.00869,0.006733,0.006733,0.006733
68,7513.12,1.12711,0.50678,0.94985,0.98548,0.98579,0.9902,0.65604,1.36184,0.51462,1.01285,0.0066835,0.0066835,0.0066835
69,7619.07,1.12844,0.49811,0.94994,0.98838,0.99296,0.99424,0.66566,1.345,0.5044,1.01363,0.006634,0.006634,0.006634
70,7725,1.11485,0.49275,0.95211,0.99123,0.98572,0.99381,0.66552,1.36464,0.5131,1.01509,0.0065845,0.0065845,0.0065845
71,7830.93,1.12504,0.49698,0.95056,0.98346,0.98705,0.99321,0.6604,1.35654,0.5248,1.01582,0.006535,0.006535,0.006535
72,7936.85,1.11129,0.49577,0.95264,0.98469,0.99049,0.992,0.66519,1.36192,0.53488,1.01274,0.0064855,0.0064855,0.0064855
73,8042.78,1.11811,0.49601,0.94455,0.98463,0.99082,0.99321,0.65994,1.37386,0.52351,1.0176,0.006436,0.006436,0.006436
74,8148.73,1.12054,0.49632,0.94332,0.98135,0.98802,0.99171,0.65986,1.35453,0.52778,1.00972,0.0063865,0.0063865,0.0063865
75,8254.68,1.11114,0.49506,0.94921,0.9827,0.98891,0.98979,0.66208,1.35348,0.5264,1.0127,0.006337,0.006337,0.006337
76,8360.61,1.1088,0.49425,0.94574,0.98294,0.99149,0.99244,0.66099,1.35429,0.51242,1.01695,0.0062875,0.0062875,0.0062875
77,8466.6,1.09339,0.48403,0.94392,0.98526,0.99035,0.99228,0.66808,1.34841,0.50581,1.01277,0.006238,0.006238,0.006238
78,8572.63,1.09949,0.48621,0.93983,0.98523,0.9872,0.99157,0.6583,1.34019,0.51728,1.00925,0.0061885,0.0061885,0.0061885
79,8678.67,1.10653,0.48591,0.94705,0.98268,0.98895,0.99186,0.67162,1.3314,0.50347,1.00799,0.006139,0.006139,0.006139
80,8784.69,1.1023,0.49175,0.94323,0.9859,0.99134,0.99248,0.66848,1.34013,0.50903,1.00847,0.0060895,0.0060895,0.0060895
81,8890.68,1.08032,0.47801,0.93662,0.98102,0.99027,0.99074,0.66353,1.35077,0.51157,1.01171,0.00604,0.00604,0.00604
82,8996.72,1.09469,0.48491,0.94358,0.98399,0.98851,0.991,0.66432,1.35139,0.51761,1.01147,0.0059905,0.0059905,0.0059905
83,9102.79,1.07834,0.47586,0.93606,0.98039,0.99045,0.99019,0.67037,1.33152,0.5223,1.00549,0.005941,0.005941,0.005941
84,9208.77,1.08912,0.47927,0.93919,0.98553,0.99075,0.99314,0.67184,1.33046,0.50202,1.0077,0.0058915,0.0058915,0.0058915
85,9314.81,1.08017,0.47066,0.94006,0.98417,0.9896,0.99335,0.66354,1.33189,0.49136,1.00751,0.005842,0.005842,0.005842
86,9420.89,1.07606,0.47445,0.9383,0.98535,0.99411,0.98984,0.67136,1.32363,0.51024,1.00799,0.0057925,0.0057925,0.0057925
87,9526.9,1.07177,0.47113,0.93556,0.98515,0.99,0.99242,0.67313,1.32222,0.49764,1.00295,0.005743,0.005743,0.005743
88,9632.98,1.07536,0.47154,0.93848,0.98507,0.99053,0.99294,0.6676,1.32981,0.48921,1.00567,0.0056935,0.0056935,0.0056935
89,9739.01,1.06729,0.47026,0.93264,0.98746,0.99387,0.99188,0.67254,1.33062,0.49485,1.00667,0.005644,0.005644,0.005644
90,9845.07,1.06473,0.47191,0.93204,0.98349,0.98989,0.99094,0.67146,1.3184,0.50223,1.00278,0.0055945,0.0055945,0.0055945
91,9951.13,1.06604,0.47219,0.93698,0.98569,0.99171,0.99349,0.6738,1.32012,0.48192,1.00631,0.005545,0.005545,0.005545
92,10057.2,1.06643,0.46891,0.93159,0.98624,0.99205,0.99254,0.66843,1.33591,0.50287,1.00919,0.0054955,0.0054955,0.0054955
93,10163.4,1.05147,0.46244,0.9283,0.9855,0.99034,0.99111,0.66793,1.33216,0.51004,1.00843,0.005446,0.005446,0.005446
94,10269.3,1.03782,0.4601,0.92912,0.98708,0.98929,0.9924,0.66996,1.33199,0.48999,1.00838,0.0053965,0.0053965,0.0053965
95,10375.3,1.04824,0.45992,0.92728,0.9877,0.98836,0.99297,0.67341,1.33391,0.47854,1.00805,0.005347,0.005347,0.005347
96,10481.3,1.04551,0.45747,0.92872,0.98901,0.98987,0.9927,0.66612,1.34716,0.4789,1.0133,0.0052975,0.0052975,0.0052975
97,10587.4,1.04258,0.45446,0.92932,0.98628,0.9924,0.99242,0.66867,1.34181,0.48961,1.00997,0.005248,0.005248,0.005248
98,10693.4,1.04474,0.4552,0.93004,0.98505,0.99256,0.99176,0.67204,1.33395,0.49541,1.00897,0.0051985,0.0051985,0.0051985
99,10799.4,1.02347,0.45152,0.92381,0.98807,0.9924,0.99308,0.67352,1.33689,0.48745,1.01143,0.005149,0.005149,0.005149
100,10905.4,1.03595,0.45885,0.92356,0.98977,0.99254,0.99357,0.67416,1.33543,0.46999,1.00792,0.0050995,0.0050995,0.0050995
101,11011.4,1.02222,0.44807,0.92457,0.98975,0.99464,0.99321,0.67549,1.3331,0.47854,1.00823,0.00505,0.00505,0.00505
102,11117.5,1.02878,0.45112,0.92165,0.98607,0.99269,0.99113,0.67446,1.33974,0.49014,1.00723,0.0050005,0.0050005,0.0050005
103,11223.5,1.01366,0.444,0.92087,0.98685,0.99252,0.9927,0.67404,1.33751,0.47998,1.01167,0.004951,0.004951,0.004951
104,11329.5,1.02847,0.44734,0.92522,0.98352,0.99151,0.99252,0.6736,1.33956,0.48727,1.01114,0.0049015,0.0049015,0.0049015
105,11435.5,1.02841,0.44609,0.92491,0.98709,0.99095,0.99302,0.67616,1.3347,0.47501,1.00939,0.004852,0.004852,0.004852
106,11541.5,1.02443,0.44962,0.92493,0.98655,0.99075,0.99345,0.67557,1.34051,0.47967,1.01189,0.0048025,0.0048025,0.0048025
107,11647.5,1.01714,0.44463,0.9186,0.98644,0.99104,0.99272,0.67507,1.33086,0.48054,1.00877,0.004753,0.004753,0.004753
108,11753.5,1.00867,0.43737,0.91797,0.98849,0.99098,0.99094,0.67499,1.33406,0.4788,1.00942,0.0047035,0.0047035,0.0047035
109,11859.6,1.01211,0.44355,0.91662,0.98854,0.99157,0.99153,0.67346,1.33946,0.47748,1.00942,0.004654,0.004654,0.004654
110,11965.6,1.00617,0.44072,0.91566,0.98808,0.99158,0.99191,0.67121,1.33526,0.47497,1.01045,0.0046045,0.0046045,0.0046045
111,12071.7,1.00936,0.44237,0.92144,0.98591,0.99265,0.99025,0.67317,1.33356,0.4807,1.01162,0.004555,0.004555,0.004555
112,12177.7,1.00657,0.43578,0.91934,0.98501,0.99191,0.99223,0.67329,1.3397,0.48094,1.01358,0.0045055,0.0045055,0.0045055
113,12283.7,0.9978,0.43748,0.91731,0.9836,0.99441,0.99293,0.67559,1.33645,0.48543,1.01211,0.004456,0.004456,0.004456
114,12389.7,1.00155,0.43753,0.91412,0.98591,0.99544,0.99331,0.67641,1.33159,0.48521,1.01071,0.0044065,0.0044065,0.0044065
115,12495.8,0.98422,0.43408,0.91059,0.9885,0.99231,0.99216,0.67591,1.33299,0.48436,1.01018,0.004357,0.004357,0.004357
116,12601.8,0.99512,0.43306,0.91846,0.98806,0.99032,0.99256,0.67599,1.33006,0.47753,1.01096,0.0043075,0.0043075,0.0043075
117,12707.8,0.99165,0.43902,0.91534,0.98332,0.98706,0.99165,0.67619,1.32332,0.48014,1.01162,0.004258,0.004258,0.004258
118,12813.7,0.97669,0.42775,0.91444,0.98458,0.9876,0.99192,0.67621,1.32783,0.47057,1.011,0.0042085,0.0042085,0.0042085
