epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.32,1.66163,1.70276,1.11725,0.8447,0.85731,0.91078,0.48336,1.54292,2.03387,1.01327,0.00332405,0.00332405,0.00332405
2,351.876,1.51675,0.8676,1.04642,0.8487,0.85849,0.92154,0.50517,1.52303,1.33864,1.02525,0.00662443,0.00662443,0.00662443
3,475.235,1.569,0.95795,1.06509,0.78815,0.67921,0.78558,0.40231,1.6379,1.59277,1.0822,0.00989181,0.00989181,0.00989181
4,598.695,1.62218,1.01702,1.10495,0.76695,0.77218,0.7936,0.40895,1.61204,1.47518,1.08427,0.0098515,0.0098515,0.0098515
5,722.027,1.60827,0.97401,1.09951,0.85246,0.8589,0.89706,0.49245,1.56513,1.24114,1.08384,0.009802,0.009802,0.009802
6,845.423,1.5685,0.90388,1.09392,0.89694,0.89618,0.9297,0.51252,1.53382,1.16438,1.06072,0.0097525,0.0097525,0.0097525
7,968.785,1.53114,0.85206,1.07655,0.89637,0.81218,0.89518,0.50459,1.49851,0.91033,1.05324,0.009703,0.009703,0.009703
8,1092.07,1.52254,0.8337,1.0743,0.8785,0.89123,0.93535,0.53432,1.51718,0.82915,1.05578,0.0096535,0.0096535,0.0096535
9,1215.41,1.50133,0.79219,1.07149,0.92635,0.91772,0.95831,0.53305,1.4814,1.28982,1.03434,0.009604,0.009604,0.009604
10,1338.68,1.48276,0.77497,1.06657,0.96004,0.93833,0.97667,0.57429,1.46035,0.83952,1.0359,0.0095545,0.0095545,0.0095545
11,1462.06,1.46602,0.74286,1.05701,0.94714,0.92998,0.96785,0.55324,1.46648,0.78048,1.02357,0.009505,0.009505,0.009505
12,1585.39,1.46282,0.73914,1.05163,0.90925,0.94248,0.96195,0.56755,1.42279,1.99876,1.01434,0.0094555,0.0094555,0.0094555
13,1708.93,1.43137,0.72904,1.04241,0.94427,0.89863,0.96242,0.56712,1.42633,0.73683,1.02346,0.009406,0.009406,0.009406
14,1832.3,1.41723,0.70562,1.03649,0.95838,0.9557,0.98151,0.58956,1.38824,0.69784,1.0077,0.0093565,0.0093565,0.0093565
15,1955.86,1.41989,0.70648,1.03858,0.94506,0.95573,0.97828,0.59301,1.43451,0.71122,1.00973,0.009307,0.009307,0.009307
16,2079.32,1.41239,0.69088,1.03834,0.97473,0.95563,0.98342,0.59767,1.42473,0.68313,1.02738,0.0092575,0.0092575,0.0092575
17,2202.8,1.39931,0.68686,1.03655,0.94414,0.94183,0.96596,0.55931,1.42726,0.72842,1.0214,0.009208,0.009208,0.009208
