epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.59,1.61748,1.51739,1.09746,0.88133,0.90064,0.94828,0.53534,1.50304,1.07461,1.02172,0.00332724,0.00332724,0.00332724
2,417.586,1.48752,0.81502,1.03424,0.8827,0.8426,0.90251,0.49787,1.58171,1.00956,1.04574,0.0066276,0.0066276,0.0066276
3,608.792,1.55109,0.92041,1.0634,0.83841,0.73411,0.84173,0.44925,1.58743,1.10939,1.08307,0.00989497,0.00989497,0.00989497
4,799.872,1.58931,0.96896,1.09866,0.86041,0.84109,0.89026,0.49473,1.57486,1.17523,1.08119,0.0098515,0.0098515,0.0098515
5,991.084,1.56118,0.89168,1.09296,0.89023,0.91529,0.93303,0.51984,1.55411,1.00121,1.08096,0.009802,0.009802,0.009802
6,1182.11,1.52655,0.84128,1.07802,0.93393,0.91938,0.9533,0.55795,1.4593,1.01002,1.03783,0.0097525,0.0097525,0.0097525
7,1373.26,1.49944,0.79028,1.07049,0.88721,0.91659,0.94496,0.55557,1.49434,1.26624,1.04935,0.009703,0.009703,0.009703
8,1564.17,1.47014,0.77127,1.06023,0.92157,0.93773,0.95715,0.54641,1.45419,0.85745,1.0433,0.0096535,0.0096535,0.0096535
9,1755.09,1.44422,0.72881,1.05347,0.95924,0.95749,0.98025,0.57893,1.43366,0.73964,1.03992,0.009604,0.009604,0.009604
10,1946.16,1.43198,0.71791,1.04858,0.9629,0.95756,0.97604,0.58406,1.4198,0.72076,1.02909,0.0095545,0.0095545,0.0095545
11,2137.11,1.42612,0.7043,1.047,0.94819,0.92119,0.97028,0.57136,1.44243,0.71466,1.02906,0.009505,0.009505,0.009505
12,2327.96,1.39675,0.68225,1.03644,0.96438,0.96291,0.98292,0.61537,1.41081,0.66772,1.01889,0.0094555,0.0094555,0.0094555
13,2519.01,1.38734,0.6749,1.02691,0.97193,0.96779,0.98347,0.59684,1.3909,0.68876,1.01465,0.009406,0.009406,0.009406
14,2709.97,1.37943,0.66277,1.02986,0.97935,0.98091,0.98966,0.63013,1.36623,0.63358,1.0155,0.0093565,0.0093565,0.0093565
15,2900.86,1.36093,0.64955,1.02221,0.9814,0.97318,0.99068,0.62366,1.36218,0.61511,1.00606,0.009307,0.009307,0.009307
16,3091.76,1.34757,0.64271,1.01948,0.97531,0.97794,0.99107,0.62153,1.34731,0.62215,1.00073,0.0092575,0.0092575,0.0092575
17,3282.57,1.34823,0.6435,1.01808,0.9797,0.96921,0.98589,0.62726,1.35016,0.60201,1.00414,0.009208,0.009208,0.009208
18,3473.27,1.34589,0.63714,1.0163,0.97383,0.97762,0.9895,0.62481,1.34472,0.60828,0.99894,0.0091585,0.0091585,0.0091585
19,3664.07,1.33037,0.62277,1.01856,0.98117,0.97154,0.98984,0.63899,1.34768,0.59936,0.99902,0.009109,0.009109,0.009109
20,3854.96,1.32586,0.61665,1.01024,0.97158,0.98142,0.98945,0.63784,1.33696,0.60126,0.99946,0.0090595,0.0090595,0.0090595
21,4045.75,1.30549,0.60632,1.00597,0.968,0.98019,0.98918,0.63275,1.3345,0.63947,0.99703,0.00901,0.00901,0.00901
22,4236.66,1.31129,0.6029,1.00467,0.97678,0.97743,0.99082,0.62996,1.34816,0.59294,0.99864,0.0089605,0.0089605,0.0089605
23,4427.44,1.3009,0.60003,1.00404,0.98021,0.98235,0.99015,0.64182,1.3248,0.55797,0.99446,0.008911,0.008911,0.008911
24,4618.07,1.29487,0.5943,1.00743,0.98294,0.98771,0.99293,0.65259,1.28827,0.53405,0.98886,0.0088615,0.0088615,0.0088615
25,4808.66,1.28588,0.59057,1.00406,0.97988,0.9792,0.98926,0.64776,1.30829,0.56042,0.99517,0.008812,0.008812,0.008812
26,4999.34,1.28571,0.58495,0.99591,0.97619,0.98416,0.99056,0.65384,1.3053,0.5652,0.99231,0.0087625,0.0087625,0.0087625
27,5189.93,1.28406,0.58604,0.9981,0.98049,0.97922,0.98958,0.65374,1.29768,0.53604,0.98263,0.008713,0.008713,0.008713
28,5380.55,1.2738,0.57595,0.99138,0.98166,0.98557,0.99141,0.66857,1.2741,0.53123,0.98039,0.0086635,0.0086635,0.0086635
29,5571.04,1.26554,0.57462,0.99462,0.98149,0.98685,0.98965,0.65779,1.25636,0.53604,0.98095,0.008614,0.008614,0.008614
30,5761.6,1.27743,0.57068,0.99208,0.98448,0.98864,0.9921,0.67292,1.24968,0.51712,0.96937,0.0085645,0.0085645,0.0085645
31,5952.16,1.25275,0.5604,0.98862,0.98306,0.9853,0.99207,0.67592,1.28106,0.5201,0.97906,0.008515,0.008515,0.008515
32,6142.72,1.2605,0.56403,0.9915,0.98665,0.99034,0.99123,0.67309,1.2407,0.51036,0.96832,0.0084655,0.0084655,0.0084655
33,6333.3,1.2451,0.5598,0.9884,0.98599,0.98846,0.99287,0.6788,1.24619,0.50109,0.97101,0.008416,0.008416,0.008416
34,6523.91,1.25483,0.56144,0.98549,0.98509,0.99251,0.99355,0.66906,1.25347,0.51568,0.96469,0.0083665,0.0083665,0.0083665
35,6714.35,1.24667,0.5567,0.98302,0.98758,0.99189,0.99395,0.67356,1.2505,0.50673,0.97061,0.008317,0.008317,0.008317
36,6904.86,1.24224,0.55288,0.98136,0.98659,0.9871,0.99176,0.66769,1.25982,0.49721,0.97014,0.0082675,0.0082675,0.0082675
37,7095.35,1.23479,0.55125,0.98355,0.98823,0.98552,0.99272,0.68203,1.22527,0.48865,0.96286,0.008218,0.008218,0.008218
38,7285.88,1.23016,0.55064,0.9793,0.98822,0.98405,0.99193,0.68254,1.24209,0.49666,0.96859,0.0081685,0.0081685,0.0081685
39,7476.36,1.22062,0.53749,0.97791,0.99084,0.99153,0.99388,0.69162,1.22427,0.47772,0.95796,0.008119,0.008119,0.008119
40,7666.88,1.2286,0.54328,0.98217,0.99078,0.99015,0.99373,0.68226,1.22822,0.4796,0.96427,0.0080695,0.0080695,0.0080695
41,7857.31,1.21973,0.53756,0.97932,0.98806,0.99098,0.99403,0.68699,1.21625,0.47115,0.95893,0.00802,0.00802,0.00802
42,8047.77,1.21437,0.53337,0.97642,0.98955,0.99115,0.99335,0.68904,1.23444,0.47361,0.96304,0.0079705,0.0079705,0.0079705
43,8238.13,1.21158,0.53681,0.97498,0.98783,0.9895,0.99217,0.68518,1.23602,0.47211,0.9622,0.007921,0.007921,0.007921
44,8428.72,1.20766,0.53419,0.97614,0.99131,0.9918,0.99437,0.68961,1.21786,0.46856,0.95855,0.0078715,0.0078715,0.0078715
45,8619.21,1.21569,0.53182,0.97411,0.99035,0.98972,0.9942,0.69185,1.22336,0.47273,0.957,0.007822,0.007822,0.007822
46,8809.77,1.21111,0.53115,0.97516,0.98944,0.98907,0.99381,0.70011,1.20578,0.46757,0.95501,0.0077725,0.0077725,0.0077725
47,9000.31,1.19872,0.52342,0.97179,0.99124,0.99033,0.994,0.69162,1.21095,0.46138,0.95581,0.007723,0.007723,0.007723
48,9190.87,1.19752,0.52483,0.97261,0.99035,0.99232,0.99421,0.69336,1.22131,0.46333,0.95828,0.0076735,0.0076735,0.0076735
49,9381.41,1.19271,0.52692,0.97224,0.9907,0.99359,0.9945,0.7015,1.1962,0.45902,0.95364,0.007624,0.007624,0.007624
50,9572,1.19176,0.51927,0.9725,0.99023,0.99127,0.99374,0.70272,1.19246,0.45729,0.95207,0.0075745,0.0075745,0.0075745
51,9762.52,1.18971,0.51984,0.97041,0.99085,0.99104,0.99376,0.69493,1.18765,0.45339,0.94783,0.007525,0.007525,0.007525
52,9953.1,1.1786,0.51364,0.96399,0.99159,0.99305,0.99431,0.7038,1.1794,0.44694,0.94852,0.0074755,0.0074755,0.0074755
53,10143.6,1.18171,0.51019,0.96746,0.99135,0.99252,0.99436,0.69879,1.19605,0.45037,0.94606,0.007426,0.007426,0.007426
54,10334,1.16954,0.51004,0.96467,0.99287,0.9921,0.9943,0.70185,1.176,0.44893,0.94543,0.0073765,0.0073765,0.0073765
55,10524.5,1.17751,0.5105,0.96469,0.99302,0.99234,0.99437,0.70352,1.17789,0.44535,0.94529,0.007327,0.007327,0.007327
56,10715,1.17126,0.50866,0.95937,0.99271,0.99116,0.99423,0.70883,1.17612,0.44563,0.94216,0.0072775,0.0072775,0.0072775
57,10905.5,1.16897,0.50927,0.9627,0.9934,0.9935,0.99433,0.71119,1.1707,0.43988,0.94029,0.007228,0.007228,0.007228
58,11095.9,1.16275,0.50321,0.95939,0.99238,0.99209,0.99433,0.70814,1.17679,0.44255,0.94242,0.0071785,0.0071785,0.0071785
59,11286.4,1.16129,0.50584,0.96322,0.99232,0.98993,0.99421,0.71024,1.17145,0.44084,0.9424,0.007129,0.007129,0.007129
60,11476.8,1.15596,0.50158,0.9605,0.98895,0.9913,0.99427,0.71185,1.1704,0.44139,0.94247,0.0070795,0.0070795,0.0070795
61,11667.3,1.1607,0.49713,0.95936,0.99078,0.99331,0.99437,0.71464,1.15347,0.43601,0.93874,0.00703,0.00703,0.00703
62,11857.8,1.14238,0.4933,0.95569,0.9923,0.9931,0.99441,0.71945,1.14276,0.42934,0.93632,0.0069805,0.0069805,0.0069805
